"site","lambda.a","lambda.a.nosb","var.lambda","var.lambda.nosb","lambda.s","lambda.s.nosb"
"BG",2.47149933134948,10.4607305936087,4.84050638979283,125.687549546277,1.65298149117433,3.94845294987772
"BR",3.38567518460143,18.1917215513869,18.2145018461429,725.804247530295,1.83670524427415,4.08858285915007
"CF",1.12889630956288,3.79508520718793,0.223880898519236,8.76923346642176,1.03433968343107,2.29395944040184
"CP3",0.812243575703686,2.02082413133434,0.0288985477870127,1.13731267689172,0.794155049574201,1.58791889721529
"DEM",1.21514891267337,4.41546198157929,1.05965597410678,47.6876489875362,1.01004459464954,1.87701474267933
"DLW",1.17368623593681,4.76228183985389,0.564246537814966,38.1282357782495,1.02279613144192,2.21157534384801
"EC",1.12553065285487,2.8584354519931,1.17916205724371,23.5127676069059,0.909764514455344,1.32702657638925
"FR",0.773978087294259,1.30605054360236,0.0381221512931495,1.4029252021642,0.751120061836747,0.607027243751859
"GCN",1.03396531033544,2.09741705535709,0.705921985501657,13.7462372942869,0.868811303408397,0.562956553017919
"KYE",1.66144584418086,8.46120909273047,2.24556366614289,137.025958263655,1.26462902626256,3.27488853761248
"LCE",1.95216884686042,14.6234638185713,5.97818741633525,531.221134043207,1.24026715674783,0
"LCW",2.02928830165212,12.5543537450047,2.87471564825262,200.510564800548,1.41260565045364,0
"LO",5.4022400696285,40.2541914986331,44.6637232009397,2974.72754008382,2.98961723824295,18.0864803880651
"MC",2.91463882117388,17.9068405147749,6.35007200507392,389.489921296231,2.03424842073806,5.43714978036593
"OKRE",1.20597171742538,4.22750743504837,0.535628957922546,25.7694546487641,1.06354478765246,2.24684914122609
"OKRW",1.59554759267537,7.16128306608883,1.0918806999296,53.0229828088956,1.29429045986431,0
"OSR",1.50375740087626,4.51742787517258,1.78446038594221,37.8167783271002,1.17169202762482,1.61224403319632
"S22",1.82184640166993,5.14616259438112,2.47542037342076,34.5849100588617,1.31185609840444,1.85977226899702
"SM",1.86663306550884,5.86409307106435,5.90545361215221,88.5710798274867,1.15564107656379,0
"URS",1.48478544746103,8.96701570070127,1.90353945052472,144.437486049063,1.08172034361875,0
