N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
46.0,0.0,es,gs,hs,0.0,0.224,0.75,3,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.0,0.224,0.75,3,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.0,0.224,0.75,3,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.0,0.224,0.75,3,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.0,0.224,0.75,3,1.848,0.152,EC
1.0,1.0,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
2.0,0.52628,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
4.0,0.24824,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
10.0,0.0051,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
21.0,0.0,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
46.0,0.0,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
100.0,0.0,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
215.0,0.0,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
464.0,0.0,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,1.0,0.224,0.75,7,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
2.0,0.47874,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
4.0,0.24436,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
10.0,0.0045,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.0,0.224,0.5,7,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
2.0,0.43788,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
4.0,0.21688,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
10.0,0.0031,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
2.0,0.4007,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
4.0,0.15184,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
10.0,0.0039,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.75,0.224,1.0,3,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
2.0,0.27572,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
4.0,0.10608,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
10.0,0.0006999999999999,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.25,0.224,0.224,7,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
2.0,0.01496,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
4.0,8e-05,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
10.0,0.0,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.0,0.224,0.5,3,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
2.0,0.64786,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
4.0,0.263,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
10.0,0.0042,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.75,0.224,0.5,5,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
2.0,0.01822,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
4.0,0.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
10.0,0.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.0,0.224,1.0,5,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
2.0,0.47854,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
4.0,0.22716,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
10.0,0.0042,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.5,0.224,1.0,7,1.848,0.152,EC
1.0,1.0,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
2.0,0.44188,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
4.0,0.21096,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
10.0,0.0040999999999999,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
21.0,0.0,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
46.0,0.0,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
100.0,0.0,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
215.0,0.0,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
464.0,0.0,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,1.0,0.224,1.0,5,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
2.0,0.31286,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
4.0,0.10272,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
10.0,0.0005,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.5,0.224,0.75,3,1.848,0.152,EC
1.0,1.0,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
2.0,0.3665,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
4.0,0.13832,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
10.0,0.0019,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
21.0,0.0,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
46.0,0.0,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
100.0,0.0,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
215.0,0.0,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
464.0,0.0,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,1.0,0.224,0.5,3,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
2.0,0.22114,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
4.0,0.07764,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
10.0,0.0008,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.25,0.224,0.75,5,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
2.0,0.39562,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
4.0,0.18436,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
10.0,0.0029,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
2.0,0.5382,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
4.0,0.24768,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
10.0,0.0051,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.75,0.224,0.5,7,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
2.0,0.3761,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
4.0,0.17464,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
10.0,0.0024,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.5,0.224,0.224,3,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
2.0,0.02038,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
4.0,8e-05,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
10.0,0.0,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
2.0,0.50002,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
4.0,0.25272,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
10.0,0.0046,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.25,0.224,0.5,7,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
2.0,0.49054,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
4.0,0.25344,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
10.0,0.0043,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
21.0,0.0,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
46.0,0.0,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
100.0,0.0,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
215.0,0.0,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
464.0,0.0,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
1000.0,0.0,ed,gs,hs,0.0,0.224,0.224,7,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
2.0,0.5681,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
4.0,0.28652,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
10.0,0.0060999999999999,es,gs,hs,0.75,0.224,0.224,3,1.848,0.152,EC
