N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wB
10000.0,0.0,es,gs,hs,0.75,0.3,0.8,5,0.95
1.0,1.0,es,gs,hs,0.0,1.0,0.8,5,0.8
2.0,0.4817,es,gs,hs,0.0,1.0,0.8,5,0.8
7.0,0.077357,es,gs,hs,0.0,1.0,0.8,5,0.8
21.0,0.000357,es,gs,hs,0.0,1.0,0.8,5,0.8
59.0,0.0,es,gs,hs,0.0,1.0,0.8,5,0.8
166.0,0.0,es,gs,hs,0.0,1.0,0.8,5,0.8
464.0,0.0,es,gs,hs,0.0,1.0,0.8,5,0.8
1291.0,0.0,es,gs,hs,0.0,1.0,0.8,5,0.8
3593.0,0.0,es,gs,hs,0.0,1.0,0.8,5,0.8
10000.0,0.0,es,gs,hs,0.0,1.0,0.8,5,0.8
1.0,1.0,es,gs,hs,0.5,0.1,0.7,5,0.8
2.0,0.27991,es,gs,hs,0.5,0.1,0.7,5,0.8
7.0,0.001218,es,gs,hs,0.5,0.1,0.7,5,0.8
21.0,0.0,es,gs,hs,0.5,0.1,0.7,5,0.8
59.0,0.0,es,gs,hs,0.5,0.1,0.7,5,0.8
166.0,0.0,es,gs,hs,0.5,0.1,0.7,5,0.8
464.0,0.0,es,gs,hs,0.5,0.1,0.7,5,0.8
1291.0,0.0,es,gs,hs,0.5,0.1,0.7,5,0.8
3593.0,0.0,es,gs,hs,0.5,0.1,0.7,5,0.8
10000.0,0.0,es,gs,hs,0.5,0.1,0.7,5,0.8
1.0,1.0,es,gs,ss,0.0,0.9,0.9,5,0.99
2.0,1.11575,es,gs,ss,0.0,0.9,0.9,5,0.99
7.0,1.039899,es,gs,ss,0.0,0.9,0.9,5,0.99
21.0,1.004892,es,gs,ss,0.0,0.9,0.9,5,0.99
59.0,1.0104339999999998,es,gs,ss,0.0,0.9,0.9,5,0.99
166.0,1.018742,es,gs,ss,0.0,0.9,0.9,5,0.99
464.0,0.968368,es,gs,ss,0.0,0.9,0.9,5,0.99
1291.0,0.946303,es,gs,ss,0.0,0.9,0.9,5,0.99
3593.0,1.074307,es,gs,ss,0.0,0.9,0.9,5,0.99
