N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wB
10000.0,0.0,es,gs,hs,0.25,0.2,0.9,5,0.99
1.0,1.0,es,gs,ss,0.25,0.6,0.7,5,0.8
2.0,1.224664,es,gs,ss,0.25,0.6,0.7,5,0.8
7.0,0.858151,es,gs,ss,0.25,0.6,0.7,5,0.8
21.0,0.767508,es,gs,ss,0.25,0.6,0.7,5,0.8
59.0,0.615075,es,gs,ss,0.25,0.6,0.7,5,0.8
166.0,0.316396,es,gs,ss,0.25,0.6,0.7,5,0.8
464.0,0.033872,es,gs,ss,0.25,0.6,0.7,5,0.8
1291.0,0.0,es,gs,ss,0.25,0.6,0.7,5,0.8
3593.0,0.0,es,gs,ss,0.25,0.6,0.7,5,0.8
10000.0,0.0,es,gs,ss,0.25,0.6,0.7,5,0.8
1.0,1.0,es,gs,hs,0.25,0.6,1.0,5,0.95
2.0,0.678922,es,gs,hs,0.25,0.6,1.0,5,0.95
7.0,0.318094,es,gs,hs,0.25,0.6,1.0,5,0.95
21.0,0.008946,es,gs,hs,0.25,0.6,1.0,5,0.95
59.0,0.111687,es,gs,hs,0.25,0.6,1.0,5,0.95
166.0,0.25647,es,gs,hs,0.25,0.6,1.0,5,0.95
464.0,0.141984,es,gs,hs,0.25,0.6,1.0,5,0.95
1291.0,0.021947,es,gs,hs,0.25,0.6,1.0,5,0.95
3593.0,0.0,es,gs,hs,0.25,0.6,1.0,5,0.95
10000.0,0.0,es,gs,hs,0.25,0.6,1.0,5,0.95
1.0,1.0,es,gs,hs,1.0,0.6,0.8,5,0.75
2.0,0.933278,es,gs,hs,1.0,0.6,0.8,5,0.75
7.0,0.872851,es,gs,hs,1.0,0.6,0.8,5,0.75
21.0,0.7038150000000001,es,gs,hs,1.0,0.6,0.8,5,0.75
59.0,0.650062,es,gs,hs,1.0,0.6,0.8,5,0.75
166.0,0.428944,es,gs,hs,1.0,0.6,0.8,5,0.75
464.0,0.107184,es,gs,hs,1.0,0.6,0.8,5,0.75
1291.0,0.0,es,gs,hs,1.0,0.6,0.8,5,0.75
3593.0,0.0,es,gs,hs,1.0,0.6,0.8,5,0.75
10000.0,0.0,es,gs,hs,1.0,0.6,0.8,5,0.75
1.0,1.0,es,gs,hs,0.0,0.8,0.7,5,0.99
2.0,0.669428,es,gs,hs,0.0,0.8,0.7,5,0.99
7.0,0.336091,es,gs,hs,0.0,0.8,0.7,5,0.99
21.0,0.038703,es,gs,hs,0.0,0.8,0.7,5,0.99
59.0,5.9e-05,es,gs,hs,0.0,0.8,0.7,5,0.99
166.0,0.0,es,gs,hs,0.0,0.8,0.7,5,0.99
464.0,0.0,es,gs,hs,0.0,0.8,0.7,5,0.99
1291.0,0.0,es,gs,hs,0.0,0.8,0.7,5,0.99
3593.0,0.0,es,gs,hs,0.0,0.8,0.7,5,0.99
10000.0,0.0,es,gs,hs,0.0,0.8,0.7,5,0.99
1.0,1.0,es,gs,hs,0.0,0.2,1.0,5,0.75
2.0,0.304916,es,gs,hs,0.0,0.2,1.0,5,0.75
7.0,0.000553,es,gs,hs,0.0,0.2,1.0,5,0.75
21.0,0.0,es,gs,hs,0.0,0.2,1.0,5,0.75
59.0,0.0,es,gs,hs,0.0,0.2,1.0,5,0.75
166.0,0.0,es,gs,hs,0.0,0.2,1.0,5,0.75
464.0,0.0,es,gs,hs,0.0,0.2,1.0,5,0.75
1291.0,0.0,es,gs,hs,0.0,0.2,1.0,5,0.75
3593.0,0.0,es,gs,hs,0.0,0.2,1.0,5,0.75
10000.0,0.0,es,gs,hs,0.0,0.2,1.0,5,0.75
1.0,1.0,es,gs,hs,0.5,0.3,0.8,5,0.9
2.0,0.660792,es,gs,hs,0.5,0.3,0.8,5,0.9
7.0,0.032753,es,gs,hs,0.5,0.3,0.8,5,0.9
21.0,8.4e-05,es,gs,hs,0.5,0.3,0.8,5,0.9
59.0,0.0,es,gs,hs,0.5,0.3,0.8,5,0.9
166.0,0.0,es,gs,hs,0.5,0.3,0.8,5,0.9
464.0,0.0,es,gs,hs,0.5,0.3,0.8,5,0.9
1291.0,0.0,es,gs,hs,0.5,0.3,0.8,5,0.9
3593.0,0.0,es,gs,hs,0.5,0.3,0.8,5,0.9
10000.0,0.0,es,gs,hs,0.5,0.3,0.8,5,0.9
1.0,1.0,es,gs,ss,0.25,0.4,1.0,5,0.99
2.0,0.583114,es,gs,ss,0.25,0.4,1.0,5,0.99
7.0,0.24451,es,gs,ss,0.25,0.4,1.0,5,0.99
21.0,0.05334,es,gs,ss,0.25,0.4,1.0,5,0.99
59.0,0.000354,es,gs,ss,0.25,0.4,1.0,5,0.99
166.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.99
464.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.99
1291.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.99
3593.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.99
10000.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.99
1.0,1.0,es,gs,ss,0.25,0.4,0.9,5,0.8
2.0,0.720498,es,gs,ss,0.25,0.4,0.9,5,0.8
7.0,0.266497,es,gs,ss,0.25,0.4,0.9,5,0.8
21.0,0.057456,es,gs,ss,0.25,0.4,0.9,5,0.8
59.0,0.00059,es,gs,ss,0.25,0.4,0.9,5,0.8
166.0,0.0,es,gs,ss,0.25,0.4,0.9,5,0.8
464.0,0.0,es,gs,ss,0.25,0.4,0.9,5,0.8
1291.0,0.0,es,gs,ss,0.25,0.4,0.9,5,0.8
3593.0,0.0,es,gs,ss,0.25,0.4,0.9,5,0.8
10000.0,0.0,es,gs,ss,0.25,0.4,0.9,5,0.8
1.0,1.0,es,gs,hs,0.75,0.8,1.0,5,0.95
2.0,0.795248,es,gs,hs,0.75,0.8,1.0,5,0.95
7.0,0.901698,es,gs,hs,0.75,0.8,1.0,5,0.95
21.0,0.929523,es,gs,hs,0.75,0.8,1.0,5,0.95
59.0,0.759094,es,gs,hs,0.75,0.8,1.0,5,0.95
166.0,0.745506,es,gs,hs,0.75,0.8,1.0,5,0.95
464.0,0.737296,es,gs,hs,0.75,0.8,1.0,5,0.95
1291.0,0.742325,es,gs,hs,0.75,0.8,1.0,5,0.95
3593.0,0.8551340000000001,es,gs,hs,0.75,0.8,1.0,5,0.95
10000.0,1.35,es,gs,hs,0.75,0.8,1.0,5,0.95
1.0,1.0,es,gs,hs,0.0,0.1,0.9,5,0.85
2.0,0.20288,es,gs,hs,0.0,0.1,0.9,5,0.85
7.0,0.000259,es,gs,hs,0.0,0.1,0.9,5,0.85
21.0,0.0,es,gs,hs,0.0,0.1,0.9,5,0.85
59.0,0.0,es,gs,hs,0.0,0.1,0.9,5,0.85
166.0,0.0,es,gs,hs,0.0,0.1,0.9,5,0.85
464.0,0.0,es,gs,hs,0.0,0.1,0.9,5,0.85
1291.0,0.0,es,gs,hs,0.0,0.1,0.9,5,0.85
3593.0,0.0,es,gs,hs,0.0,0.1,0.9,5,0.85
10000.0,0.0,es,gs,hs,0.0,0.1,0.9,5,0.85
1.0,1.0,es,gs,hs,1.0,0.8,1.0,5,0.99
2.0,0.852534,es,gs,hs,1.0,0.8,1.0,5,0.99
7.0,0.923244,es,gs,hs,1.0,0.8,1.0,5,0.99
21.0,0.878619,es,gs,hs,1.0,0.8,1.0,5,0.99
59.0,0.868362,es,gs,hs,1.0,0.8,1.0,5,0.99
166.0,0.846102,es,gs,hs,1.0,0.8,1.0,5,0.99
464.0,0.901088,es,gs,hs,1.0,0.8,1.0,5,0.99
1291.0,0.782346,es,gs,hs,1.0,0.8,1.0,5,0.99
3593.0,0.783274,es,gs,hs,1.0,0.8,1.0,5,0.99
10000.0,0.58,es,gs,hs,1.0,0.8,1.0,5,0.99
1.0,1.0,es,gs,hs,0.0,1.0,0.9,5,0.9
2.0,0.552948,es,gs,hs,0.0,1.0,0.9,5,0.9
7.0,0.215936,es,gs,hs,0.0,1.0,0.9,5,0.9
21.0,0.02079,es,gs,hs,0.0,1.0,0.9,5,0.9
59.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.9
166.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.9
464.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.9
1291.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.9
3593.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.9
10000.0,0.0,es,gs,hs,0.0,1.0,0.9,5,0.9
1.0,1.0,es,gs,hs,1.0,0.2,0.7,5,0.75
2.0,0.619836,es,gs,hs,1.0,0.2,0.7,5,0.75
7.0,0.005103,es,gs,hs,1.0,0.2,0.7,5,0.75
21.0,0.0,es,gs,hs,1.0,0.2,0.7,5,0.75
59.0,0.0,es,gs,hs,1.0,0.2,0.7,5,0.75
166.0,0.0,es,gs,hs,1.0,0.2,0.7,5,0.75
464.0,0.0,es,gs,hs,1.0,0.2,0.7,5,0.75
1291.0,0.0,es,gs,hs,1.0,0.2,0.7,5,0.75
3593.0,0.0,es,gs,hs,1.0,0.2,0.7,5,0.75
10000.0,0.0,es,gs,hs,1.0,0.2,0.7,5,0.75
1.0,1.0,es,gs,hs,0.0,0.4,1.0,5,0.99
2.0,0.60878,es,gs,hs,0.0,0.4,1.0,5,0.99
7.0,0.034762,es,gs,hs,0.0,0.4,1.0,5,0.99
21.0,0.0,es,gs,hs,0.0,0.4,1.0,5,0.99
59.0,0.0,es,gs,hs,0.0,0.4,1.0,5,0.99
166.0,0.0,es,gs,hs,0.0,0.4,1.0,5,0.99
464.0,0.0,es,gs,hs,0.0,0.4,1.0,5,0.99
1291.0,0.0,es,gs,hs,0.0,0.4,1.0,5,0.99
3593.0,0.0,es,gs,hs,0.0,0.4,1.0,5,0.99
10000.0,0.0,es,gs,hs,0.0,0.4,1.0,5,0.99
1.0,1.0,es,gs,ss,0.0,0.7,0.8,5,0.85
2.0,1.142144,es,gs,ss,0.0,0.7,0.8,5,0.85
7.0,0.906906,es,gs,ss,0.0,0.7,0.8,5,0.85
21.0,0.858879,es,gs,ss,0.0,0.7,0.8,5,0.85
59.0,0.817268,es,gs,ss,0.0,0.7,0.8,5,0.85
166.0,0.7338859999999999,es,gs,ss,0.0,0.7,0.8,5,0.85
464.0,0.57304,es,gs,ss,0.0,0.7,0.8,5,0.85
1291.0,0.214306,es,gs,ss,0.0,0.7,0.8,5,0.85
3593.0,0.007186,es,gs,ss,0.0,0.7,0.8,5,0.85
10000.0,0.0,es,gs,ss,0.0,0.7,0.8,5,0.85
1.0,1.0,es,gs,hs,0.75,0.0,0.8,5,0.95
2.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
7.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
21.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
59.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
166.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
464.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
1291.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
3593.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
10000.0,0.0,es,gs,hs,0.75,0.0,0.8,5,0.95
1.0,1.0,es,gs,hs,0.5,0.3,0.9,5,0.95
2.0,0.660576,es,gs,hs,0.5,0.3,0.9,5,0.95
7.0,0.035938,es,gs,hs,0.5,0.3,0.9,5,0.95
21.0,0.00168,es,gs,hs,0.5,0.3,0.9,5,0.95
59.0,5.9e-05,es,gs,hs,0.5,0.3,0.9,5,0.95
166.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.95
464.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.95
1291.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.95
3593.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.95
10000.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.95
1.0,1.0,es,gs,ss,0.25,0.1,0.9,5,0.85
2.0,0.212628,es,gs,ss,0.25,0.1,0.9,5,0.85
7.0,5.6e-05,es,gs,ss,0.25,0.1,0.9,5,0.85
21.0,0.0,es,gs,ss,0.25,0.1,0.9,5,0.85
59.0,0.0,es,gs,ss,0.25,0.1,0.9,5,0.85
166.0,0.0,es,gs,ss,0.25,0.1,0.9,5,0.85
464.0,0.0,es,gs,ss,0.25,0.1,0.9,5,0.85
1291.0,0.0,es,gs,ss,0.25,0.1,0.9,5,0.85
3593.0,0.0,es,gs,ss,0.25,0.1,0.9,5,0.85
10000.0,0.0,es,gs,ss,0.25,0.1,0.9,5,0.85
1.0,1.0,es,gs,hs,1.0,0.0,0.8,5,0.99
2.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
7.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
21.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
59.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
166.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
464.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
1291.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
3593.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
10000.0,0.0,es,gs,hs,1.0,0.0,0.8,5,0.99
1.0,1.0,es,gs,hs,1.0,0.4,0.7,5,0.99
2.0,0.90527,es,gs,hs,1.0,0.4,0.7,5,0.99
7.0,0.383397,es,gs,hs,1.0,0.4,0.7,5,0.99
21.0,0.172032,es,gs,hs,1.0,0.4,0.7,5,0.99
59.0,0.0088499999999999,es,gs,hs,1.0,0.4,0.7,5,0.99
166.0,0.0,es,gs,hs,1.0,0.4,0.7,5,0.99
464.0,0.0,es,gs,hs,1.0,0.4,0.7,5,0.99
1291.0,0.0,es,gs,hs,1.0,0.4,0.7,5,0.99
3593.0,0.0,es,gs,hs,1.0,0.4,0.7,5,0.99
10000.0,0.0,es,gs,hs,1.0,0.4,0.7,5,0.99
1.0,1.0,es,gs,ss,0.25,0.4,1.0,5,0.9
2.0,0.581864,es,gs,ss,0.25,0.4,1.0,5,0.9
7.0,0.243866,es,gs,ss,0.25,0.4,1.0,5,0.9
21.0,0.055377,es,gs,ss,0.25,0.4,1.0,5,0.9
59.0,0.000472,es,gs,ss,0.25,0.4,1.0,5,0.9
166.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.9
464.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.9
1291.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.9
3593.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.9
10000.0,0.0,es,gs,ss,0.25,0.4,1.0,5,0.9
1.0,1.0,es,gs,ss,0.25,0.8,0.7,5,0.99
2.0,1.360056,es,gs,ss,0.25,0.8,0.7,5,0.99
7.0,1.247246,es,gs,ss,0.25,0.8,0.7,5,0.99
21.0,1.16844,es,gs,ss,0.25,0.8,0.7,5,0.99
1.0,1.0,es,gs,ss,0.25,0.2,1.0,5,0.75
2.0,0.332504,es,gs,ss,0.25,0.2,1.0,5,0.75
7.0,0.004417,es,gs,ss,0.25,0.2,1.0,5,0.75
21.0,0.0,es,gs,ss,0.25,0.2,1.0,5,0.75
59.0,0.0,es,gs,ss,0.25,0.2,1.0,5,0.75
166.0,0.0,es,gs,ss,0.25,0.2,1.0,5,0.75
464.0,0.0,es,gs,ss,0.25,0.2,1.0,5,0.75
1291.0,0.0,es,gs,ss,0.25,0.2,1.0,5,0.75
3593.0,0.0,es,gs,ss,0.25,0.2,1.0,5,0.75
10000.0,0.0,es,gs,ss,0.25,0.2,1.0,5,0.75
1.0,1.0,es,gs,ss,0.0,0.3,0.7,5,0.85
2.0,0.843618,es,gs,ss,0.0,0.3,0.7,5,0.85
7.0,0.076496,es,gs,ss,0.0,0.3,0.7,5,0.85
21.0,0.000378,es,gs,ss,0.0,0.3,0.7,5,0.85
59.0,0.0,es,gs,ss,0.0,0.3,0.7,5,0.85
166.0,0.0,es,gs,ss,0.0,0.3,0.7,5,0.85
464.0,0.0,es,gs,ss,0.0,0.3,0.7,5,0.85
1291.0,0.0,es,gs,ss,0.0,0.3,0.7,5,0.85
3593.0,0.0,es,gs,ss,0.0,0.3,0.7,5,0.85
10000.0,0.0,es,gs,ss,0.0,0.3,0.7,5,0.85
1.0,1.0,es,gs,hs,0.75,0.4,0.7,5,0.95
2.0,0.845528,es,gs,hs,0.75,0.4,0.7,5,0.95
7.0,0.255528,es,gs,hs,0.75,0.4,0.7,5,0.95
21.0,0.154728,es,gs,hs,0.75,0.4,0.7,5,0.95
59.0,0.0093809999999999,es,gs,hs,0.75,0.4,0.7,5,0.95
166.0,0.0,es,gs,hs,0.75,0.4,0.7,5,0.95
464.0,0.0,es,gs,hs,0.75,0.4,0.7,5,0.95
1291.0,0.0,es,gs,hs,0.75,0.4,0.7,5,0.95
3593.0,0.0,es,gs,hs,0.75,0.4,0.7,5,0.95
10000.0,0.0,es,gs,hs,0.75,0.4,0.7,5,0.95
1.0,1.0,es,gs,hs,0.0,1.0,1.0,5,0.8
2.0,0.461748,es,gs,hs,0.0,1.0,1.0,5,0.8
7.0,0.080871,es,gs,hs,0.0,1.0,1.0,5,0.8
21.0,0.000567,es,gs,hs,0.0,1.0,1.0,5,0.8
59.0,0.0,es,gs,hs,0.0,1.0,1.0,5,0.8
166.0,0.0,es,gs,hs,0.0,1.0,1.0,5,0.8
464.0,0.0,es,gs,hs,0.0,1.0,1.0,5,0.8
1291.0,0.0,es,gs,hs,0.0,1.0,1.0,5,0.8
3593.0,0.0,es,gs,hs,0.0,1.0,1.0,5,0.8
10000.0,0.0,es,gs,hs,0.0,1.0,1.0,5,0.8
1.0,1.0,es,gs,hs,0.5,1.0,0.9,5,0.95
2.0,0.750016,es,gs,hs,0.5,1.0,0.9,5,0.95
7.0,0.7848890000000001,es,gs,hs,0.5,1.0,0.9,5,0.95
21.0,0.952392,es,gs,hs,0.5,1.0,0.9,5,0.95
59.0,0.984651,es,gs,hs,0.5,1.0,0.9,5,0.95
166.0,0.969108,es,gs,hs,0.5,1.0,0.9,5,0.95
464.0,0.94192,es,gs,hs,0.5,1.0,0.9,5,0.95
1291.0,0.8275309999999999,es,gs,hs,0.5,1.0,0.9,5,0.95
3593.0,0.474276,es,gs,hs,0.5,1.0,0.9,5,0.95
10000.0,0.1,es,gs,hs,0.5,1.0,0.9,5,0.95
1.0,1.0,es,gs,ss,0.25,0.2,0.7,5,0.9
2.0,0.61213,es,gs,ss,0.25,0.2,0.7,5,0.9
7.0,0.003976,es,gs,ss,0.25,0.2,0.7,5,0.9
21.0,0.0,es,gs,ss,0.25,0.2,0.7,5,0.9
59.0,0.0,es,gs,ss,0.25,0.2,0.7,5,0.9
166.0,0.0,es,gs,ss,0.25,0.2,0.7,5,0.9
464.0,0.0,es,gs,ss,0.25,0.2,0.7,5,0.9
1291.0,0.0,es,gs,ss,0.25,0.2,0.7,5,0.9
3593.0,0.0,es,gs,ss,0.25,0.2,0.7,5,0.9
10000.0,0.0,es,gs,ss,0.25,0.2,0.7,5,0.9
1.0,1.0,es,gs,hs,0.5,0.9,0.8,5,0.75
2.0,0.699224,es,gs,hs,0.5,0.9,0.8,5,0.75
7.0,0.5276179999999999,es,gs,hs,0.5,0.9,0.8,5,0.75
21.0,0.422058,es,gs,hs,0.5,0.9,0.8,5,0.75
59.0,0.106259,es,gs,hs,0.5,0.9,0.8,5,0.75
166.0,0.0,es,gs,hs,0.5,0.9,0.8,5,0.75
464.0,0.0,es,gs,hs,0.5,0.9,0.8,5,0.75
1291.0,0.0,es,gs,hs,0.5,0.9,0.8,5,0.75
3593.0,0.0,es,gs,hs,0.5,0.9,0.8,5,0.75
10000.0,0.0,es,gs,hs,0.5,0.9,0.8,5,0.75
1.0,1.0,es,gs,hs,0.5,0.7,0.8,5,0.8
2.0,0.731508,es,gs,hs,0.5,0.7,0.8,5,0.8
7.0,0.4994499999999999,es,gs,hs,0.5,0.7,0.8,5,0.8
21.0,0.086667,es,gs,hs,0.5,0.7,0.8,5,0.8
59.0,0.023895,es,gs,hs,0.5,0.7,0.8,5,0.8
166.0,0.279876,es,gs,hs,0.5,0.7,0.8,5,0.8
464.0,0.7085279999999999,es,gs,hs,0.5,0.7,0.8,5,0.8
1291.0,1.58793,es,gs,hs,0.5,0.7,0.8,5,0.8
3593.0,4.34753,es,gs,hs,0.5,0.7,0.8,5,0.8
10000.0,11.79,es,gs,hs,0.5,0.7,0.8,5,0.8
1.0,1.0,es,gs,hs,0.25,0.7,1.0,5,0.85
2.0,0.616886,es,gs,hs,0.25,0.7,1.0,5,0.85
7.0,0.263277,es,gs,hs,0.25,0.7,1.0,5,0.85
21.0,0.010521,es,gs,hs,0.25,0.7,1.0,5,0.85
59.0,0.0,es,gs,hs,0.25,0.7,1.0,5,0.85
166.0,0.0,es,gs,hs,0.25,0.7,1.0,5,0.85
464.0,0.0,es,gs,hs,0.25,0.7,1.0,5,0.85
1291.0,0.0,es,gs,hs,0.25,0.7,1.0,5,0.85
3593.0,0.0,es,gs,hs,0.25,0.7,1.0,5,0.85
10000.0,0.0,es,gs,hs,0.25,0.7,1.0,5,0.85
1.0,1.0,es,gs,ss,0.25,0.0,0.9,5,0.9
2.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
7.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
21.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
59.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
166.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
464.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
1291.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
3593.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
10000.0,0.0,es,gs,ss,0.25,0.0,0.9,5,0.9
1.0,1.0,es,gs,hs,1.0,1.0,0.9,5,0.8
2.0,0.899964,es,gs,hs,1.0,1.0,0.9,5,0.8
7.0,1.061249,es,gs,hs,1.0,1.0,0.9,5,0.8
21.0,1.085826,es,gs,hs,1.0,1.0,0.9,5,0.8
59.0,1.073328,es,gs,hs,1.0,1.0,0.9,5,0.8
166.0,1.066716,es,gs,hs,1.0,1.0,0.9,5,0.8
464.0,1.050032,es,gs,hs,1.0,1.0,0.9,5,0.8
1291.0,1.018599,es,gs,hs,1.0,1.0,0.9,5,0.8
3593.0,1.1353879999999998,es,gs,hs,1.0,1.0,0.9,5,0.8
10000.0,1.24,es,gs,hs,1.0,1.0,0.9,5,0.8
1.0,1.0,es,gs,hs,0.25,0.4,0.9,5,0.75
2.0,0.558242,es,gs,hs,0.25,0.4,0.9,5,0.75
7.0,0.030051,es,gs,hs,0.25,0.4,0.9,5,0.75
21.0,2.1e-05,es,gs,hs,0.25,0.4,0.9,5,0.75
59.0,0.0,es,gs,hs,0.25,0.4,0.9,5,0.75
166.0,0.0,es,gs,hs,0.25,0.4,0.9,5,0.75
464.0,0.0,es,gs,hs,0.25,0.4,0.9,5,0.75
1291.0,0.0,es,gs,hs,0.25,0.4,0.9,5,0.75
3593.0,0.0,es,gs,hs,0.25,0.4,0.9,5,0.75
10000.0,0.0,es,gs,hs,0.25,0.4,0.9,5,0.75
1.0,1.0,es,gs,hs,0.5,0.7,1.0,5,0.99
2.0,0.751652,es,gs,hs,0.5,0.7,1.0,5,0.99
7.0,0.765576,es,gs,hs,0.5,0.7,1.0,5,0.99
21.0,0.601041,es,gs,hs,0.5,0.7,1.0,5,0.99
59.0,0.597611,es,gs,hs,0.5,0.7,1.0,5,0.99
166.0,0.5727,es,gs,hs,0.5,0.7,1.0,5,0.99
464.0,0.475136,es,gs,hs,0.5,0.7,1.0,5,0.99
1291.0,0.236253,es,gs,hs,0.5,0.7,1.0,5,0.99
3593.0,0.025151,es,gs,hs,0.5,0.7,1.0,5,0.99
10000.0,0.0,es,gs,hs,0.5,0.7,1.0,5,0.99
1.0,1.0,es,gs,ss,0.0,1.0,0.7,5,0.85
2.0,1.460194,es,gs,ss,0.0,1.0,0.7,5,0.85
7.0,1.612051,es,gs,ss,0.0,1.0,0.7,5,0.85
21.0,1.546944,es,gs,ss,0.0,1.0,0.7,5,0.85
59.0,1.560845,es,gs,ss,0.0,1.0,0.7,5,0.85
166.0,1.677596,es,gs,ss,0.0,1.0,0.7,5,0.85
464.0,2.124192,es,gs,ss,0.0,1.0,0.7,5,0.85
1291.0,3.560578,es,gs,ss,0.0,1.0,0.7,5,0.85
3593.0,8.669909,es,gs,ss,0.0,1.0,0.7,5,0.85
10000.0,23.99,es,gs,ss,0.0,1.0,0.7,5,0.85
1.0,1.0,es,gs,hs,0.0,0.0,0.9,5,0.95
2.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
7.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
21.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
59.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
166.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
464.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
1291.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
3593.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
10000.0,0.0,es,gs,hs,0.0,0.0,0.9,5,0.95
1.0,1.0,es,gs,hs,0.75,0.9,1.0,5,0.85
2.0,0.774104,es,gs,hs,0.75,0.9,1.0,5,0.85
7.0,0.876204,es,gs,hs,0.75,0.9,1.0,5,0.85
21.0,0.981456,es,gs,hs,0.75,0.9,1.0,5,0.85
59.0,0.994799,es,gs,hs,0.75,0.9,1.0,5,0.85
166.0,0.7773779999999999,es,gs,hs,0.75,0.9,1.0,5,0.85
464.0,0.929856,es,gs,hs,0.75,0.9,1.0,5,0.85
1291.0,1.234196,es,gs,hs,0.75,0.9,1.0,5,0.85
3593.0,2.648041,es,gs,hs,0.75,0.9,1.0,5,0.85
10000.0,7.6,es,gs,hs,0.75,0.9,1.0,5,0.85
1.0,1.0,es,gs,ss,0.25,0.3,0.8,5,0.99
2.0,0.710008,es,gs,ss,0.25,0.3,0.8,5,0.99
7.0,0.07084,es,gs,ss,0.25,0.3,0.8,5,0.99
21.0,0.000315,es,gs,ss,0.25,0.3,0.8,5,0.99
59.0,0.0,es,gs,ss,0.25,0.3,0.8,5,0.99
166.0,0.0,es,gs,ss,0.25,0.3,0.8,5,0.99
464.0,0.0,es,gs,ss,0.25,0.3,0.8,5,0.99
1291.0,0.0,es,gs,ss,0.25,0.3,0.8,5,0.99
3593.0,0.0,es,gs,ss,0.25,0.3,0.8,5,0.99
10000.0,0.0,es,gs,ss,0.25,0.3,0.8,5,0.99
1.0,1.0,es,gs,hs,0.75,0.2,1.0,5,0.8
2.0,0.529074,es,gs,hs,0.75,0.2,1.0,5,0.8
7.0,0.008225,es,gs,hs,0.75,0.2,1.0,5,0.8
21.0,0.0,es,gs,hs,0.75,0.2,1.0,5,0.8
59.0,0.0,es,gs,hs,0.75,0.2,1.0,5,0.8
166.0,0.0,es,gs,hs,0.75,0.2,1.0,5,0.8
464.0,0.0,es,gs,hs,0.75,0.2,1.0,5,0.8
1291.0,0.0,es,gs,hs,0.75,0.2,1.0,5,0.8
3593.0,0.0,es,gs,hs,0.75,0.2,1.0,5,0.8
10000.0,0.0,es,gs,hs,0.75,0.2,1.0,5,0.8
1.0,1.0,es,gs,hs,0.0,0.1,0.7,5,0.75
2.0,0.174564,es,gs,hs,0.0,0.1,0.7,5,0.75
7.0,0.000112,es,gs,hs,0.0,0.1,0.7,5,0.75
21.0,0.0,es,gs,hs,0.0,0.1,0.7,5,0.75
59.0,0.0,es,gs,hs,0.0,0.1,0.7,5,0.75
