N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
46.0,0.0,es,gs,hs,0.0,0.165,0.5,5,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.0,0.165,0.5,5,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.0,0.165,0.5,5,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.0,0.165,0.5,5,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.0,0.165,0.5,5,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
2.0,0.43404,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
4.0,0.10716,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
10.0,0.0002,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.75,0.165,1.0,5,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
2.0,0.45744,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
4.0,0.11276,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
10.0,0.0005,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.5,0.165,0.75,7,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
2.0,0.37566,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
4.0,0.0858,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
10.0,0.0001,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.75,0.165,0.75,5,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
2.0,0.4723,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
4.0,0.1194,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
10.0,0.0002,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.5,0.165,0.5,7,1.453,0.547,FR
