N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
21.0,0.00147,es,gs,hs,1.0,0.227,1.0,7,1.884,0.116,GCN
46.0,0.0,es,gs,hs,1.0,0.227,1.0,7,1.884,0.116,GCN
100.0,0.0,es,gs,hs,1.0,0.227,1.0,7,1.884,0.116,GCN
215.0,0.0,es,gs,hs,1.0,0.227,1.0,7,1.884,0.116,GCN
464.0,0.0,es,gs,hs,1.0,0.227,1.0,7,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,1.0,0.227,1.0,7,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
2.0,0.33572,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
4.0,0.12316,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
10.0,0.001,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.5,0.227,0.5,3,1.884,0.116,GCN
1.0,1.0,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
2.0,0.44906,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
4.0,0.253,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
10.0,0.0049,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
21.0,0.0,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
100.0,0.0,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
2.0,0.01198,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
4.0,0.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
10.0,0.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.0,0.227,0.5,7,1.884,0.116,GCN
1.0,1.0,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
2.0,0.82152,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
4.0,0.3162,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
10.0,0.0373,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
21.0,0.00084,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
46.0,0.0,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
100.0,0.0,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
215.0,0.0,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
464.0,0.0,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
2.0,0.4398,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
4.0,0.17728,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
10.0,0.002,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.5,0.227,0.5,5,1.884,0.116,GCN
1.0,1.0,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
2.0,0.53008,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
4.0,0.26068,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
10.0,0.0055999999999999,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
21.0,0.0,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
100.0,0.0,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,1.0,0.227,0.75,7,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
2.0,0.21248,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
4.0,0.085,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
10.0,0.0009,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.25,0.227,1.0,5,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
2.0,0.5051,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
4.0,0.22816,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
10.0,0.0037,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.5,0.227,0.5,7,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
2.0,0.011,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
4.0,8e-05,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
10.0,0.0,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.0,0.227,0.5,5,1.884,0.116,GCN
