N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar,site
2.0,0.40736,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
4.0,0.21952,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
10.0,0.0059,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
464.0,0.0,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,0.165,3,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
2.0,0.54626,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
4.0,0.31044,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
10.0,0.007,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
464.0,0.0,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,0.165,5,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
2.0,0.52352,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
4.0,0.36552,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
10.0,0.0094,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
21.0,0.00021,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.165,5,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
2.0,0.29342,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
4.0,0.11184,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
10.0,0.0039,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
464.0,0.0,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,1.0,3,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
2.0,0.47154,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
4.0,0.18696,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
10.0,0.0029,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
464.0,0.0,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
1000.0,0.0,fs,gs,hs,0.165,0.5,5,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
2.0,0.43304,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
4.0,0.23592,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
10.0,0.0083,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
21.0,0.0,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.75,5,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
2.0,0.45582,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
4.0,0.24176,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
10.0,0.0066,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
21.0,0.0,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.5,5,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
2.0,0.28656,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
4.0,0.16472,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
10.0,0.0065,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
21.0,0.0,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,1.0,3,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
2.0,0.61892,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
4.0,0.4392,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
10.0,0.0108,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
21.0,0.00021,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.165,7,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
2.0,0.57226,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
4.0,0.25508,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
10.0,0.0053,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
21.0,0.0,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
46.0,0.0,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
100.0,0.0,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
215.0,0.0,fs,gs,hs,0.165,0.5,7,1.306,1.403,FR
