N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar,site
464.0,84.53616,fd,gs,hs,0.224,0.75,5,2.858,23.513,EC
1000.0,181.79,fd,gs,hs,0.224,0.75,5,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
2.0,0.73574,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
4.0,0.75132,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
10.0,0.4787,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
21.0,0.50085,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
46.0,1.38966,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
100.0,3.324,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
215.0,5.6846000000000005,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
464.0,6.38464,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
1000.0,3.21,fs,gs,hs,0.224,0.75,7,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
2.0,0.85698,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
4.0,1.14372,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
10.0,0.7968999999999999,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
21.0,0.96537,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
46.0,1.03408,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
100.0,0.992,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
215.0,0.99975,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
464.0,1.14144,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
1000.0,0.97,fd,gs,hs,0.224,0.224,7,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
2.0,0.6332,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
4.0,0.5736,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
10.0,0.3069,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
21.0,0.11697,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
46.0,0.12512,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
100.0,0.16,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
215.0,0.28165,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
464.0,0.36192,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
1000.0,0.64,fs,gs,hs,0.224,0.75,5,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
2.0,0.72228,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
4.0,0.96412,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
10.0,1.7866000000000002,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
21.0,4.82727,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
46.0,11.05196,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
100.0,24.065,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
215.0,51.76125,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
1000.0,248.39,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
464.0,113.67536,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
1000.0,243.83,fd,gs,hs,0.224,0.75,7,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
2.0,0.44662,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
4.0,0.70792,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
10.0,1.1721,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
21.0,2.3877,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
46.0,7.13276,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
100.0,15.967999999999998,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
215.0,33.6948,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
464.0,73.60432,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
1000.0,158.35,fd,gs,hs,0.224,1.0,3,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
2.0,0.47274,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
4.0,0.34616,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
10.0,0.1549,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
21.0,0.06468,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
46.0,0.0529,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
100.0,0.062,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
215.0,0.05805,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
464.0,0.08816,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
1000.0,0.05,fs,gs,hs,0.224,0.75,3,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
2.0,0.62316,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
4.0,1.05376,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
10.0,1.59,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
21.0,5.16264,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
46.0,11.71712,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
100.0,25.529000000000003,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
1000.0,253.69000000000003,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
215.0,55.3582,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
464.0,118.3664,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
1000.0,251.84,fd,gs,hs,0.224,1.0,5,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
2.0,0.45808,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
4.0,0.4808,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
10.0,0.5883,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
21.0,1.27218,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
46.0,3.86078,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
100.0,8.708,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
215.0,18.806050000000003,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
464.0,41.24496,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
1000.0,88.92,fd,gs,hs,0.224,0.75,3,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
2.0,0.73188,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
4.0,1.27212,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
10.0,2.5706,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
464.0,147.39888,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
21.0,6.5221800000000005,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
46.0,14.37178,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
100.0,31.347,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
215.0,68.1206,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
464.0,144.67520000000002,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
1000.0,311.08000000000004,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
1000.0,310.5,fd,gs,hs,0.224,1.0,7,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
2.0,0.62046,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
4.0,0.84048,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
10.0,0.6333,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
21.0,0.7169399999999999,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
46.0,0.9959,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
100.0,1.016,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
215.0,0.95245,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
464.0,1.0439999999999998,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
1000.0,1.0399999999999998,fd,gs,hs,0.224,0.224,3,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
2.0,0.75648,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
4.0,0.81932,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
10.0,0.8936,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
21.0,1.77828,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
46.0,3.77246,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
100.0,8.286,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
215.0,17.864349999999998,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
464.0,38.98528,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
1000.0,83.16,fd,gs,hs,0.224,0.5,7,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
2.0,0.66874,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
4.0,0.70104,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
10.0,0.2297,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
21.0,0.1012199999999999,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
46.0,0.0897,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
100.0,0.064,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
215.0,0.0516,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
464.0,0.03712,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
1000.0,0.0,fs,gs,hs,0.224,0.224,3,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
2.0,0.66254,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
4.0,0.67572,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
10.0,0.409,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
21.0,0.8826299999999999,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
46.0,1.2535,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
100.0,2.262,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
215.0,4.7644,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
464.0,10.47712,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
1000.0,22.86,fd,gs,hs,0.224,0.5,5,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
2.0,0.83402,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
4.0,0.8702,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
10.0,0.2410999999999999,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
21.0,0.06132,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
46.0,0.03496,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
100.0,0.021,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
215.0,0.01075,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
464.0,0.01856,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
1000.0,0.0,fs,gs,hs,0.224,0.224,5,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
2.0,0.51772,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
4.0,0.48564,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
10.0,0.2863,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
21.0,0.22008,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
46.0,0.0749799999999999,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
100.0,0.002,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
215.0,0.0,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
464.0,0.0,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
1000.0,0.0,fd,gs,hs,0.224,0.5,3,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
2.0,0.93542,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
4.0,0.97868,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
10.0,0.2658999999999999,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
21.0,0.16296,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
46.0,0.22402,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
100.0,0.284,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
215.0,0.2193,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
464.0,0.09744,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
1000.0,0.02,fs,gs,hs,0.224,0.224,7,2.858,23.513,EC
