N,NPfix
1.0,1.0
2.0,0.4308
4.0,0.48748
10.0,0.46240000000000003
21.0,0.3297
46.0,0.5750000000000001
100.0,1.327
215.0,3.0272
464.0,6.94608
1000.0,13.96
